channel_name,surcharge_type,condition_value,rate,description
MBC,region,서울/경기/인천,0.2,서울/경기/인천 지역 할증
MBC,region,시/군/구(일반),0.4,시/군/구 일반 지역 할증
MBC,region,시/군/구(청약집중지역),0.6,청약집중지역 할증
MBC,custom,커스텀타겟팅,0.4,커스텀 타겟팅 할증
EBS,region,시/군/구(일반),0.4,시/군/구 일반 지역 할증
EBS,region,시/군/구(청약집중지역),0.8,청약집중지역 할증
PP,region,서울특별시/도/광역시,0.2,서울특별시/도/광역시 할증
PP,region,시/군/구(일반),0.4,시/군/구 일반 지역 할증
PP,region,시/군/구(청약집중지역),1,청약집중지역 할증
PP,custom,커스텀타겟팅,0.4,커스텀 타겟팅 할증
